filter,vegamag,AB,ST,Apparent (vegamag),Apparent (AB),Apparent (ST),AB mag of Vega,ST mag of Vega,Pivot Wavelength (μm),Filter Reference
IRAS100,3.29,13.14,24.47,-28.28,-18.43,-7.1,9.854,21.186,101.1267,http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
IRAC_3.6,3.26,6.02,10.08,-28.31,-25.56,-21.5,2.758,6.817,3.5508,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralres
IRAC_4.5,3.28,6.51,11.08,-28.29,-25.06,-20.49,3.232,7.804,4.496,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralres
IRAC_5.8,3.28,7.0,12.09,-28.3,-24.58,-19.48,3.72,8.816,5.7245,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralres
IRAC_8.0,3.26,7.62,13.41,-28.31,-23.95,-18.16,4.36,10.152,7.8842,http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralres
IRS_16,3.27,9.11,16.42,-28.31,-22.47,-15.15,5.839,13.157,15.9222,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/bluePUtrans.txt
IRS_22,3.27,9.86,17.92,-28.3,-21.72,-13.65,6.584,14.65,22.4704,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/redPUtrans.txt
MIPS_24,3.27,10.01,18.19,-28.3,-21.57,-13.38,6.731,14.918,23.7592,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
MIPS_70,3.29,12.4,23.0,-28.28,-19.17,-8.58,9.114,19.708,71.9861,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
MIPS_160,3.29,14.15,26.42,-28.28,-17.43,-5.15,10.857,23.137,156.4274,http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt
ACS_F330W,5.34,6.43,5.47,-26.24,-25.14,-26.1,1.097,0.139,0.3521,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F410W,5.7,5.67,5.02,-25.87,-25.9,-26.55,-0.033,-0.68,0.4064,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F435W,5.48,5.35,4.84,-26.09,-26.22,-26.73,-0.129,-0.639,0.4328,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F475W,5.21,5.09,4.78,-26.36,-26.49,-26.8,-0.122,-0.432,0.4747,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F555W,4.87,4.84,4.79,-26.71,-26.74,-26.78,-0.03,-0.076,0.5361,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F606W,4.66,4.72,4.89,-26.92,-26.85,-26.68,0.063,0.233,0.5922,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F625W,4.49,4.63,4.94,-27.08,-26.94,-26.64,0.14,0.448,0.6312,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F775W,4.16,4.52,5.26,-27.42,-27.05,-26.31,0.364,1.103,0.7694,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F814W,4.12,4.52,5.36,-27.46,-27.06,-26.22,0.4,1.239,0.8059,ftp://ftp.stsci.edu/cdbs/comp/acs
ACS_F850LP,4.01,4.5,5.59,-27.56,-27.07,-25.98,0.494,1.577,0.9016,ftp://ftp.stsci.edu/cdbs/comp/acs
WFC3_F218W,9.09,10.74,8.79,-22.48,-20.83,-22.78,1.654,-0.298,0.2229,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F225W,8.51,10.13,8.32,-23.06,-21.44,-23.25,1.625,-0.191,0.2372,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F336W,5.49,6.64,5.58,-26.09,-24.93,-25.99,1.158,0.094,0.3355,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F390W,5.66,5.85,5.12,-25.91,-25.73,-26.45,0.187,-0.536,0.3924,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F438W,5.5,5.32,4.81,-26.07,-26.25,-26.76,-0.178,-0.69,0.4326,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F475W,5.19,5.07,4.77,-26.38,-26.5,-26.8,-0.122,-0.419,0.4774,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F555W,4.91,4.86,4.79,-26.67,-26.72,-26.78,-0.048,-0.116,0.5308,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F606W,4.67,4.73,4.88,-26.91,-26.85,-26.69,0.059,0.217,0.5887,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F625W,4.52,4.64,4.92,-27.06,-26.93,-26.65,0.124,0.409,0.6241,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F775W,4.16,4.52,5.25,-27.41,-27.05,-26.33,0.357,1.083,0.7648,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F814W,4.12,4.52,5.35,-27.45,-27.06,-26.22,0.395,1.226,0.803,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F098m,3.96,4.5,5.78,-27.61,-27.07,-25.79,0.538,1.816,0.9864,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F105W,3.89,4.51,5.94,-27.68,-27.06,-25.63,0.622,2.046,1.0551,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F125W,3.66,4.54,6.33,-27.91,-27.03,-25.24,0.877,2.667,1.2486,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F140W,3.51,4.56,6.59,-28.06,-27.01,-24.98,1.052,3.079,1.3922,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFC3_F160W,3.37,4.6,6.84,-28.2,-26.97,-24.73,1.228,3.469,1.537,ftp://ftp.stsci.edu/cdbs/comp/wfc3
WFPC2_F218W,9.17,10.83,8.86,-22.4,-20.74,-22.72,1.657,-0.316,0.2207,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F300W,6.1,7.4,6.09,-25.48,-24.17,-25.48,1.307,-0.005,0.2992,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F450W,5.31,5.2,4.8,-26.26,-26.37,-26.77,-0.11,-0.509,0.4556,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F555W,4.84,4.82,4.81,-26.73,-26.75,-26.77,-0.025,-0.038,0.5442,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F606W,4.62,4.7,4.9,-26.95,-26.87,-26.67,0.077,0.276,0.6001,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F702W,4.33,4.57,5.08,-27.24,-27.0,-26.49,0.24,0.748,0.6919,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
WFPC2_F814W,4.12,4.52,5.34,-27.45,-27.05,-26.23,0.392,1.216,0.8002,ftp://ftp.stsci.edu/cdbs/comp/wfpc2
NIC2_F110W,3.82,4.52,6.08,-27.75,-27.05,-25.49,0.704,2.265,1.1235,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC2_F160W,3.35,4.64,6.97,-28.22,-26.93,-24.6,1.286,3.618,1.603,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC3_F110W,3.82,4.52,6.08,-27.75,-27.05,-25.5,0.701,2.255,1.12,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIC3_F160W,3.35,4.64,6.97,-28.22,-26.93,-24.6,1.287,3.621,1.6042,ftp://ftp.stsci.edu/cdbs/comp/nicmos
NIRCAM_F070W,4.29,4.56,5.1,-27.28,-27.02,-26.47,0.264,0.811,0.7046,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F090W,4.02,4.5,5.59,-27.56,-27.07,-25.98,0.488,1.573,0.9025,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F115W,3.77,4.53,6.15,-27.8,-27.05,-25.43,0.753,2.373,1.1543,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F140M,3.48,4.56,6.6,-28.09,-27.02,-24.97,1.079,3.126,1.4053,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F150W,3.41,4.59,6.78,-28.16,-26.98,-24.79,1.182,3.371,1.5007,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F150W2,3.5,4.7,7.11,-28.07,-26.87,-24.46,1.203,3.61,1.6588,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F162M,3.32,4.65,7.01,-28.25,-26.93,-24.56,1.328,3.693,1.6272,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F164N,3.29,4.66,7.05,-28.28,-26.91,-24.53,1.368,3.756,1.6445,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F182M,3.28,4.81,7.45,-28.29,-26.76,-24.12,1.534,4.172,1.8452,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F187N,3.25,4.85,7.52,-28.33,-26.72,-24.05,1.6,4.272,1.8739,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F200W,3.28,4.93,7.73,-28.3,-26.64,-23.84,1.652,4.453,1.9886,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
